quote_id,speaker,confidence,method,paragraph,text
q00335,,0.00,unresolved,298,"“that reminds me that I've got a book I meant to bring you, Godmamma. It came down in a parcel from London the other day. I know you are fond of queer, wizardlike stories. It's a volume of poems, ‘Lyrical Ballads.' Most of them seem to be twaddling stuff, but the first is in a different style—‘The Ancient Mariner' is the title. I can hardly make head or tail of it as a story, but it's a strange, striking thing. I'll send it over to you; and there are some other books that you may like to see, Irwine—pamphlets about Antinomianism and Evangelicalism, whatever they may be. I can't think what the fellow means by sending such things to me. I've written to him to desire that from henceforth he will send me no book or pamphlet on anything that ends in ism.”"
q00336,,0.00,unresolved,299,"“Well, I don't know that I'm very fond of isms myself; but I may as well look at the pamphlets; they let one see what is going on. I've a little matter to attend to, Arthur ,”"
q00337,,0.00,unresolved,299,“and then I shall be ready to set out with you.”
q00338,Miss Kate,0.98,after-verb-name,300,"“Come in,”"
q00339,Miss Kate,0.96,before-name-verb,300,“Don't speak to her; she can't bear to be spoken to to-day.”
q00340,,0.00,unresolved,301,“the gentlefolks.”
q00341,,0.00,unresolved,301,"“the gentlefolks, last winter”"
q00342,,0.00,unresolved,301,“stuff”
q00343,,0.00,unresolved,303,“travelling preacher”
q00344,,0.00,unresolved,303,"“tribe of canting Methodists,”"
q00345,,0.00,unresolved,303,"“Feyther Taft,”"
q00346,,0.00,unresolved,303,“earnest”
q00347,,0.00,unresolved,315,"“whittaw,”"
q00348,,0.00,unresolved,315,"“elbow polish,”"
q00349,,0.00,unresolved,317,“cleaned herself”
q00350,,0.00,unresolved,318,"“Spinning, indeed! It isn't spinning as you'd be at, I'll be bound, and let you have your own way. I never knew your equals for gallowsness. To think of a gell o' your age wanting to go and sit with half-a-dozen men! I'd ha' been ashamed to let the words pass over my lips if I'd been you. And you, as have been here ever since last Michaelmas, and I hired you at Treddles'on stattits, without a bit o' character—as I say, you might be grateful to be hired in that way to a respectable place; and you knew no more o' what belongs to work when you come here than the mawkin i' the field. As poor a two-fisted thing as ever I saw, you know you was. Who taught you to scrub a floor, I should like to know? Why, you'd leave the dirt in heaps i' the corners—anybody 'ud think you'd never been brought up among Christians. And as for spinning, why, you've wasted as much as your wage i' the flax you've spoiled learning to spin. And you've a right to feel that, and not to go about as gaping and as thoughtless as if you was beholding to nobody. Comb the wool for the whittaws, indeed! That's what you'd like to be doing, is it? That's the way with you—that's the road you'd all like to go, headlongs to ruin. You're never easy till you've got some sweetheart as is as big a fool as yourself: you think you'll be finely off when you're married, I daresay, and have got a three-legged stool to sit on, and never a blanket to cover you, and a bit o' oat-cake for your dinner, as three children are a-snatching at.”"
q00351,Molly,0.98,after-verb-name,319,"“I'm sure I donna want t' go wi' the whittaws,”"
q00352,Molly,0.91,same-paragraph,319,“on'y we allays used to comb the wool for 'n at Mester Ottley's; an' so I just axed ye. I donna want to set eyes on the whittaws again; I wish I may never stir if I do.”
q00353,,0.00,unresolved,320,"“Mr. Ottley's, indeed! It's fine talking o' what you did at Mr. Ottley's. Your missis there might like her floors dirted wi' whittaws for what I know. There's no knowing what people wonna like—such ways as I've heard of! I never had a gell come into my house as seemed to know what cleaning was; I think people live like pigs, for my part. And as to that Betty as was dairymaid at Trent's before she come to me, she'd ha' left the cheeses without turning from week's end to week's end, and the dairy thralls, I might ha' wrote my name on 'em, when I come downstairs after my illness, as the doctor said it was inflammation—it was a mercy I got well of it. And to think o' your knowing no better, Molly, and been here a-going i' nine months, and not for want o' talking to, neither—and what are you stanning there for, like a jack as is run down, instead o' getting your wheel out? You're a rare un for sitting down to your work a little while after it's time to put by.”"
q00354,,0.00,unresolved,321,"“Munny, my iron's twite told; pease put it down to warm.”"
q00355,,0.00,unresolved,323,"“Cold, is it, my darling? Bless your sweet face!”"
q00356,,0.00,unresolved,323,“Never mind! Mother's done her ironing now. She's going to put the ironing things away.”
q00357,,0.00,unresolved,324,"“Munny, I tould 'ike to do into de barn to Tommy, to see de whittawd.”"
q00358,Totty,0.91,same-paragraph,325,"“No, no, no; Totty 'ud get her feet wet,”"
q00359,Totty,0.96,before-name-verb,325,“Run into the dairy and see cousin Hetty make the butter.”
q00360,,0.00,unresolved,326,"“I tould 'ike a bit o' pum-take,”"
q00361,,0.00,unresolved,327,“Did ever anybody see the like?”
q00362,,0.00,unresolved,327,"“The child's allays i' mischief if your back's turned a minute. What shall I do to you, you naughty, naughty gell?”"
q00363,,0.00,unresolved,330,"“You look th' image o' your Aunt Judith, Dinah, when you sit a-sewing. I could almost fancy it was thirty years back, and I was a little gell at home, looking at Judith as she sat at her work, after she'd done the house up; only it was a little cottage, Father's was, and not a big rambling house as gets dirty i' one corner as fast as you clean it in another—but for all that, I could fancy you was your Aunt Judith, only her hair was a deal darker than yours, and she was stouter and broader i' the shoulders. Judith and me allays hung together, though she had such queer ways, but your mother and her never could agree. Ah, your mother little thought as she'd have a daughter just cut out after the very pattern o' Judith, and leave her an orphan, too, for Judith to take care on, and bring up with a spoon when she was in the graveyard at Stoniton. I allays said that o' Judith, as she'd bear a pound weight any day to save anybody else carrying a ounce. And she was just the same from the first o' my remembering her; it made no difference in her, as I could see, when she took to the Methodists, only she talked a bit different and wore a different sort o' cap; but she'd never in her life spent a penny on herself more than keeping herself decent.”"
q00364,Dinah,0.98,after-verb-name,331,"“She was a blessed woman,”"
q00365,Dinah,0.94,before-verb-name,331,"“God had given her a loving, self-forgetting nature, and He perfected it by grace. And she was very fond of you too, Aunt Rachel. I often heard her talk of you in the same sort of way. When she had that bad illness, and I was only eleven years old, she used to say, ‘You'll have a friend on earth in your Aunt Rachel, if I'm taken from you, for she has a kind heart,' and I'm sure I've found it so.”"
q00366,Dinah,0.78,neighbor-continuation,332,"“I don't know how, child; anybody 'ud be cunning to do anything for you, I think; you're like the birds o' th' air, and live nobody knows how. I'd ha' been glad to behave to you like a mother's sister, if you'd come and live i' this country where there's some shelter and victual for man and beast, and folks don't live on the naked hills, like poultry a-scratching on a gravel bank. And then you might get married to some decent man, and there'd be plenty ready to have you, if you'd only leave off that preaching, as is ten times worse than anything your Aunt Judith ever did. And even if you'd marry Seth Bede , as is a poor wool-gathering Methodist and's never like to have a penny beforehand, I know your uncle 'ud help you with a pig, and very like a cow, for he's allays been good-natur'd to my kin, for all they're poor, and made 'em welcome to the house; and 'ud do for you, I'll be bound, as much as ever he'd do for Hetty, though she's his own niece. And there's linen in the house as I could well spare you, for I've got lots o' sheeting and table-clothing, and towelling, as isn't made up. There's a piece o' sheeting I could give you as that squinting Kitty spun—she was a rare girl to spin, for all she squinted, and the children couldn't abide her; and, you know, the spinning's going on constant, and there's new linen wove twice as fast as the old wears out. But where's the use o' talking, if ye wonna be persuaded, and settle down like any other woman in her senses, i'stead o' wearing yourself out with walking and preaching, and giving away every penny you get, so as you've nothing saved against sickness; and all the things you've got i' the world, I verily believe, 'ud go into a bundle no bigger nor a double cheese. And all because you've got notions i' your head about religion more nor what's i' the Catechism and the Prayer-book.”"
q00367,Dinah,0.98,after-verb-name,333,"“But not more than what's in the Bible, Aunt,”"
q00368,,0.00,unresolved,334,"“Yes, and the Bible too, for that matter,”"
q00369,,0.00,unresolved,334,"“else why shouldn't them as know best what's in the Bible—the parsons and people as have got nothing to do but learn it—do the same as you do? But, for the matter o' that, if everybody was to do like you, the world must come to a standstill; for if everybody tried to do without house and home, and with poor eating and drinking, and was allays talking as we must despise the things o' the world as you say, I should like to know where the pick o' the stock, and the corn, and the best new-milk cheeses 'ud have to go. Everybody 'ud be wanting bread made o' tail ends and everybody 'ud be running after everybody else to preach to 'em, istead o' bringing up their families, and laying by against a bad harvest. It stands to sense as that can't be the right religion.”"
q00370,,0.00,unresolved,335,"“Nay, dear aunt, you never heard me say that all people are called to forsake their work and their families. It's quite right the land should be ploughed and sowed, and the precious corn stored, and the things of this life cared for, and right that people should rejoice in their families, and provide for them, so that this is done in the fear of the Lord, and that they are not unmindful of the soul's wants while they are caring for the body. We can all be servants of God wherever our lot is cast, but He gives us different sorts of work, according as He fits us for it and calls us to it. I can no more help spending my life in trying to do what I can for the souls of others, than you could help running if you heard little Totty crying at the other end of the house; the voice would go to your heart, you would think the dear child was in trouble or in danger, and you couldn't rest without running to help her and comfort her.”"
q00371,,0.00,unresolved,336,"“Ah,”"
q00372,,0.00,unresolved,336,"“I know it 'ud be just the same if I was to talk to you for hours. You'd make me the same answer, at th' end. I might as well talk to the running brook and tell it to stan' still.”"
q00373,,0.00,unresolved,337,"“If there isn't Captain Donnithorne and Mr. Irwine a-coming into the yard! I'll lay my life they're come to speak about your preaching on the Green, Dinah; it's you must answer 'em, for I'm dumb. I've said enough a'ready about your bringing such disgrace upo' your uncle's family. I wouldn't ha' minded if you'd been Mr. Poyser's own niece—folks must put up wi' their own kin, as they put up wi' their own noses—it's their own flesh and blood. But to think of a niece o' mine being cause o' my husband's being turned out of his farm, and me brought him no fortin but my savin's——”"
q00374,Dinah,0.98,after-verb-name,338,"“Nay, dear Aunt Rachel,”"
q00375,Dinah,0.94,before-verb-name,338,“you've no cause for such fears. I've strong assurance that no evil will happen to you and my uncle and the children from anything I've done. I didn't preach without direction.”
q00376,,0.00,unresolved,339,"“Direction! I know very well what you mean by direction,”"
q00377,,0.00,unresolved,339,"“When there's a bigger maggot than usual in your head you call it ‘direction'; and then nothing can stir you—you look like the statty o' the outside o' Treddles'on church, a-starin' and a-smilin' whether it's fair weather or foul. I hanna common patience with you.”"
q00378,,0.00,unresolved,341,"“Well, Mrs. Poyser, how are you after this stormy morning?”"
q00379,,0.00,unresolved,341,“Our feet are quite dry; we shall not soil your beautiful floor.”
q00380,,0.00,unresolved,342,"“Oh, sir, don't mention it,”"
q00381,,0.00,unresolved,342,“Will you and the captain please to walk into the parlour?”
q00382,,0.00,unresolved,343,"“No, indeed, thank you, Mrs. Poyser,”"
q00383,,0.00,unresolved,343,“I delight in your kitchen. I think it is the most charming room I know. I should like every farmer's wife to come and look at it for a pattern.”
q00384,,0.00,unresolved,344,"“Oh, you're pleased to say so, sir. Pray take a seat,”"
q00385,,0.00,unresolved,345,"“Poyser is not at home, is he?”"
q00386,,0.00,unresolved,346,"“No, sir, he isn't; he's gone to Rosseter to see Mr. West, the factor, about the wool. But there's Father i' the barn, sir, if he'd be of any use.”"
q00387,,0.00,unresolved,347,"“No, thank you; I'll just look at the whelps and leave a message about them with your shepherd. I must come another day and see your husband; I want to have a consultation with him about horses. Do you know when he's likely to be at liberty?”"
q00388,,0.00,unresolved,348,"“Why, sir, you can hardly miss him, except it's o' Treddles'on market-day—that's of a Friday, you know. For if he's anywhere on the farm we can send for him in a minute. If we'd got rid o' the Scantlands, we should have no outlying fields; and I should be glad of it, for if ever anything happens, he's sure to be gone to the Scantlands. Things allays happen so contrairy, if they've a chance; and it's an unnat'ral thing to have one bit o' your farm in one county and all the rest in another.”"
q00389,,0.00,unresolved,349,"“Ah, the Scantlands would go much better with Choyce's farm, especially as he wants dairyland and you've got plenty. I think yours is the prettiest farm on the estate, though; and do you know, Mrs. Poyser, if I were going to marry and settle, I should be tempted to turn you out, and do up this fine old house, and turn farmer myself.”"
q00390,,0.00,unresolved,350,"“Oh, sir,”"
q00391,,0.00,unresolved,350,"“you wouldn't like it at all. As for farming, it's putting money into your pocket wi' your right hand and fetching it out wi' your left. As fur as I can see, it's raising victual for other folks and just getting a mouthful for yourself and your children as you go along. Not as you'd be like a poor man as wants to get his bread—you could afford to lose as much money as you liked i' farming—but it's poor fun losing money, I should think, though I understan' it's what the great folks i' London play at more than anything. For my husband heard at market as Lord Dacey's eldest son had lost thousands upo' thousands to the Prince o' Wales, and they said my lady was going to pawn her jewels to pay for him. But you know more about that than I do, sir. But, as for farming, sir, I canna think as you'd like it; and this house—the draughts in it are enough to cut you through, and it's my opinion the floors upstairs are very rotten, and the rats i' the cellar are beyond anything.”"
q00392,,0.00,unresolved,351,"“Why, that's a terrible picture, Mrs. Poyser. I think I should be doing you a service to turn you out of such a place. But there's no chance of that. I'm not likely to settle for the next twenty years, till I'm a stout gentleman of forty; and my grandfather would never consent to part with such good tenants as you.”"
q00393,,0.00,unresolved,352,"“Well, sir, if he thinks so well o' Mr. Poyser for a tenant I wish you could put in a word for him to allow us some new gates for the Five closes, for my husband's been asking and asking till he's tired, and to think o' what he's done for the farm, and's never had a penny allowed him, be the times bad or good. And as I've said to my husband often and often, I'm sure if the captain had anything to do with it, it wouldn't be so. Not as I wish to speak disrespectful o' them as have got the power i' their hands, but it's more than flesh and blood 'ull bear sometimes, to be toiling and striving, and up early and down late, and hardly sleeping a wink when you lie down for thinking as the cheese may swell, or the cows may slip their calf, or the wheat may grow green again i' the sheaf—and after all, at th' end o' the year, it's like as if you'd been cooking a feast and had got the smell of it for your pains.”"
q00394,,0.00,unresolved,354,"“I'm afraid I should only do harm instead of good, if I were to speak about the gates, Mrs. Poyser,”"
q00395,,0.00,unresolved,354,"“though I assure you there's no man on the estate I would sooner say a word for than your husband. I know his farm is in better order than any other within ten miles of us; and as for the kitchen,”"
q00396,,0.00,unresolved,354,"“I don't believe there's one in the kingdom to beat it. By the by, I've never seen your dairy: I must see your dairy, Mrs. Poyser.”"
q00397,,0.00,unresolved,355,"“Indeed, sir, it's not fit for you to go in, for Hetty's in the middle o' making the butter, for the churning was thrown late, and I'm quite ashamed.”"
q00398,,0.00,unresolved,356,"“Oh, I've no doubt it's in capital order. Take me in,”"
q00399,,0.00,unresolved,359,"“the naughtier the little huzzy behaved, the prettier she looked.”"
q00400,,0.00,unresolved,362,"“I hope you will be ready for a great holiday on the thirtieth of July, Mrs. Poyser,”"
q00401,,0.00,unresolved,362,"“You know what is to happen then, and I shall expect you to be one of the guests who come earliest and leave latest. Will you promise me your hand for two dances, Miss Hetty? If I don't get your promise now, I know I shall hardly have a chance, for all the smart young farmers will take care to secure you.”"
q00402,,0.00,unresolved,364,"“Indeed, sir, you are very kind to take that notice of her. And I'm sure, whenever you're pleased to dance with her, she'll be proud and thankful, if she stood still all the rest o' th' evening.”"
q00403,Hetty,0.98,after-verb-name,365,"“Oh no, no, that would be too cruel to all the other young fellows who can dance. But you will promise me two dances, won't you?”"
q00404,Hetty,0.96,before-name-verb,366,"“Yes, thank you, sir.”"
q00405,,0.00,unresolved,367,"“And you must bring all your children, you know, Mrs. Poyser; your little Totty, as well as the boys. I want all the youngest children on the estate to be there—all those who will be fine young men and women when I'm a bald old fellow.”"
q00406,,0.00,unresolved,368,"“Oh dear, sir, that 'ull be a long time first,”"
q00407,,0.00,unresolved,368,"“very full of his jokes,”"
q00408,Totty,0.91,same-paragraph,369,“But where is Totty to-day?”
q00409,Totty,0.96,before-name-verb,369,“I want to see her.”
q00410,Hetty,0.91,same-paragraph,370,"“Where is the little un, Hetty?”"
q00411,Hetty,0.96,before-name-verb,370,“She came in here not long ago.”
q00412,,0.00,unresolved,371,"“I don't know. She went into the brewhouse to Nancy, I think.”"
q00413,Hetty,0.98,after-verb-name,373,“And do you carry the butter to market when you've made it?”
q00414,,0.00,unresolved,374,"“Oh no, sir; not when it's so heavy. I'm not strong enough to carry it. Alick takes it on horseback.”"
q00415,,0.00,unresolved,375,"“No, I'm sure your pretty arms were never meant for such heavy weights. But you go out a walk sometimes these pleasant evenings, don't you? Why don't you have a walk in the Chase sometimes, now it's so green and pleasant? I hardly ever see you anywhere except at home and at church.”"
q00416,Hetty,0.98,after-verb-name,376,"“Aunt doesn't like me to go a-walking only when I'm going somewhere,”"
q00417,Hetty,0.94,before-verb-name,376,“But I go through the Chase sometimes.”
q00418,,0.00,unresolved,377,"“And don't you ever go to see Mrs. Best, the housekeeper? I think I saw you once in the housekeeper's room.”"
q00419,,0.00,unresolved,378,"“It isn't Mrs. Best, it's Mrs. Pomfret, the lady's maid, as I go to see. She's teaching me tent-stitch and the lace-mending. I'm going to tea with her to-morrow afternoon.”"
q00420,Totty,0.98,after-verb-name,380,“Here she is!”
q00421,Totty,0.91,same-paragraph,380,"“Here's Totty! By the by, what's her other name? She wasn't christened Totty.”"
q00422,,0.00,unresolved,381,"“Oh, sir, we call her sadly out of her name. Charlotte's's her christened name. It's a name i' Mr. Poyser's family: his grandmother was named Charlotte's. But we began with calling her Lotty, and now it's got to Totty. To be sure it's more like a name for a dog than a Christian child.”"
q00423,,0.00,unresolved,382,"“Totty's a capital name. Why, she looks like a Totty. Has she got a pocket on?”"
q00424,,0.00,unresolved,384,"“It dot notin' in it,”"
q00425,Nancy,0.91,same-paragraph,385,"“No! What a pity! Such a pretty pocket. Well, I think I've got some things in mine that will make a pretty jingle in it. Yes! I declare I've got five little round silver things, and hear what a pretty noise they make in Totty's pink pocket.”"
q00426,Nancy,0.96,before-name-verb,385,"“Oh for shame, you naughty gell! Not to thank the captain for what he's given you I'm sure, sir, it's very kind of you; but she's spoiled shameful; her father won't have her said nay in anything, and there's no managing her. It's being the youngest, and th' only gell.”"
q00427,,0.00,unresolved,386,"“Oh, she's a funny little fatty; I wouldn't have her different. But I must be going now, for I suppose the rector is waiting for me.”"
q00428,,0.00,unresolved,387,"“good-bye,”"
q00429,,0.00,unresolved,389,"“What a well-favoured countenance! Oh that the good seed might fall on that soil, for it would surely flourish.”"
q00430,,0.00,unresolved,390,"“You are only a visitor in this neighbourhood, I think?”"
q00431,,0.00,unresolved,391,"“No, sir, I come from Snowfield, in Stonyshire. But my aunt was very kind, wanting me to have rest from my work there, because I'd been ill, and she invited me to come and stay with her for a while.”"
q00432,,0.00,unresolved,392,"“Ah, I remember Snowfield very well; I once had occasion to go there. It's a dreary bleak place. They were building a cotton-mill there; but that's many years ago now. I suppose the place is a good deal changed by the employment that mill must have brought.”"
q00433,,0.00,unresolved,393,"“It is changed so far as the mill has brought people there, who get a livelihood for themselves by working in it, and make it better for the tradesfolks. I work in it myself, and have reason to be grateful, for thereby I have enough and to spare. But it's still a bleak place, as you say, sir—very different from this country.”"
q00434,,0.00,unresolved,394,"“You have relations living there, probably, so that you are attached to the place as your home?”"
q00435,,0.00,unresolved,395,"“I had an aunt there once; she brought me up, for I was an orphan. But she was taken away seven years ago, and I have no other kindred that I know of, besides my Aunt Poyser, who is very good to me, and would have me come and live in this country, which to be sure is a good land, wherein they eat bread without scarceness. But I'm not free to leave Snowfield, where I was first planted, and have grown deep into it, like the small grass on the hill-top.”"
q00436,,0.00,unresolved,396,"“Ah, I daresay you have many religious friends and companions there; you are a Methodist—a Wesleyan, I think?”"
q00437,,0.00,unresolved,397,"“Yes, my aunt at Snowfield belonged to the Society, and I have cause to be thankful for the privileges I have had thereby from my earliest childhood.”"
q00438,,0.00,unresolved,398,“And have you been long in the habit of preaching? For I understand you preached at Hayslope last night.”
q00439,,0.00,unresolved,399,"“I first took to the work four years since, when I was twenty-one.”"
q00440,,0.00,unresolved,400,"“Your Society sanctions women's preaching, then?”"
q00441,,0.00,unresolved,401,"“It doesn't forbid them, sir, when they've a clear call to the work, and when their ministry is owned by the conversion of sinners and the strengthening of God's people. Mrs. Fletcher, as you may have heard about, was the first woman to preach in the Society, I believe, before she was married, when she was Miss Bosanquet; and Mr. Wesley approved of her undertaking the work. She had a great gift, and there are many others now living who are precious fellow-helpers in the work of the ministry. I understand there's been voices raised against it in the Society of late, but I cannot but think their counsel will come to nought. It isn't for men to make channels for God's Spirit, as they make channels for the watercourses, and say, ‘Flow here, but flow not there.'”"
q00442,,0.00,unresolved,402,"“But don't you find some danger among your people—I don't mean to say that it is so with you, far from it—but don't you find sometimes that both men and women fancy themselves channels for God's Spirit, and are quite mistaken, so that they set about a work for which they are unfit and bring holy things into contempt?”"
q00443,,0.00,unresolved,403,"“Doubtless it is so sometimes; for there have been evil-doers among us who have sought to deceive the brethren, and some there are who deceive their own selves. But we are not without discipline and correction to put a check upon these things. There's a very strict order kept among us, and the brethren and sisters watch for each other's souls as they that must give account. They don't go every one his own way and say, ‘Am I my brother's keeper?'”"
q00444,,0.00,unresolved,404,"“But tell me—if I may ask, and I am really interested in knowing it—how you first came to think of preaching?”"
q00445,,0.00,unresolved,405,"“Indeed, sir, I didn't think of it at all—I'd been used from the time I was sixteen to talk to the little children, and teach them, and sometimes I had had my heart enlarged to speak in class, and was much drawn out in prayer with the sick. But I had felt no call to preach, for when I'm not greatly wrought upon, I'm too much given to sit still and keep by myself. It seems as if I could sit silent all day long with the thought of God overflowing my soul—as the pebbles lie bathed in the Willow Brook. For thoughts are so great—aren't they, sir? They seem to lie upon us like a deep flood; and it's my besetment to forget where I am and everything about me, and lose myself in thoughts that I could give no account of, for I could neither make a beginning nor ending of them in words. That was my way as long as I can remember; but sometimes it seemed as if speech came to me without any will of my own, and words were given to me that came out as the tears come, because our hearts are full and we can't help it. And those were always times of great blessing, though I had never thought it could be so with me before a congregation of people. But, sir, we are led on, like the little children, by a way that we know not. I was called to preach quite suddenly, and since then I have never been left in doubt about the work that was laid upon me.”"
q00446,,0.00,unresolved,406,"“But tell me the circumstances—just how it was, the very day you began to preach.”"
q00447,,0.00,unresolved,407,"“It was one Sunday I walked with brother Marlowe, who was an aged man, one of the local preachers, all the way to Hetton-Deeps—that's a village where the people get their living by working in the lead-mines, and where there's no church nor preacher, but they live like sheep without a shepherd. It's better than twelve miles from Snowfield, so we set out early in the morning, for it was summertime; and I had a wonderful sense of the Divine love as we walked over the hills, where there's no trees, you know, sir, as there is here, to make the sky look smaller, but you see the heavens stretched out like a tent, and you feel the everlasting arms around you. But before we got to Hetton, brother Marlowe was seized with a dizziness that made him afraid of falling, for he overworked himself sadly, at his years, in watching and praying, and walking so many miles to speak the Word, as well as carrying on his trade of linen-weaving. And when we got to the village, the people were expecting him, for he'd appointed the time and the place when he was there before, and such of them as cared to hear the Word of Life were assembled on a spot where the cottages was thickest, so as others might be drawn to come. But he felt as he couldn't stand up to preach, and he was forced to lie down in the first of the cottages we came to. So I went to tell the people, thinking we'd go into one of the houses, and I would read and pray with them. But as I passed along by the cottages and saw the aged and trembling women at the doors, and the hard looks of the men, who seemed to have their eyes no more filled with the sight of the Sabbath morning than if they had been dumb oxen that never looked up to the sky, I felt a great movement in my soul, and I trembled as if I was shaken by a strong spirit entering into my weak body. And I went to where the little flock of people was gathered together, and stepped on the low wall that was built against the green hillside, and I spoke the words that were given to me abundantly. And they all came round me out of all the cottages, and many wept over their sins, and have since been joined to the Lord. That was the beginning of my preaching, sir, and I've preached ever since.”"
q00448,,0.00,unresolved,408,“He must be a miserable prig who would act the pedagogue here: one might as well go and lecture the trees for growing in their own shape.”
q00449,,0.00,unresolved,409,“And you never feel any embarrassment from the sense of your youth—that you are a lovely young woman on whom men's eyes are fixed?”
q00450,,0.00,unresolved,410,"“No, I've no room for such feelings, and I don't believe the people ever take notice about that. I think, sir, when God makes His presence felt through us, we are like the burning bush: Moses never took any heed what sort of bush it was—he only saw the brightness of the Lord. I've preached to as rough ignorant people as can be in the villages about Snowfield—men that looked very hard and wild—but they never said an uncivil word to me, and often thanked me kindly as they made way for me to pass through the midst of them.”"
q00451,,0.00,unresolved,411,"“That I can believe—that I can well believe,”"
q00452,,0.00,unresolved,411,"“And what did you think of your hearers last night, now? Did you find them quiet and attentive?”"
q00453,,0.00,unresolved,412,"“Very quiet, sir, but I saw no signs of any great work upon them, except in a young girl named Bessy Cranage, towards whom my heart yearned greatly, when my eyes first fell on her blooming youth, given up to folly and vanity. I had some private talk and prayer with her afterwards, and I trust her heart is touched. But I've noticed that in these villages where the people lead a quiet life among the green pastures and the still waters, tilling the ground and tending the cattle, there's a strange deadness to the Word, as different as can be from the great towns, like Leeds, where I once went to visit a holy woman who preaches there. It's wonderful how rich is the harvest of souls up those high-walled streets, where you seemed to walk as in a prison-yard, and the ear is deafened with the sounds of worldly toil. I think maybe it is because the promise is sweeter when this life is so dark and weary, and the soul gets more hungry when the body is ill at ease.”"
q00454,,0.00,unresolved,413,"“Why, yes, our farm-labourers are not easily roused. They take life almost as slowly as the sheep and cows. But we have some intelligent workmen about here. I daresay you know the Bedes; Seth Bede , by the by, is a Methodist.”"
q00455,,0.00,unresolved,414,"“Yes, I know Seth well, and his brother Adam a little. Seth is a gracious young man—sincere and without offence; and Adam is like the patriarch Joseph, for his great skill and knowledge and the kindness he shows to his brother and his parents.”"
q00456,,0.00,unresolved,415,"“Perhaps you don't know the trouble that has just happened to them? Their father, Matthias Bede, was drowned in the Willow Brook last night, not far from his own door. I'm going now to see Adam.”"
q00457,Dinah,0.98,after-verb-name,416,"“Ah, their poor aged mother!”"
q00458,Dinah,0.91,same-paragraph,416,"“She will mourn heavily, for Seth has told me she's of an anxious, troubled heart. I must go and see if I can give her any help.”"
q00459,Dinah,0.96,before-name-verb,417,"“Good-bye. I hear you are going away soon; but this will not be the last visit you will pay your aunt—so we shall meet again, I hope.”"
q00460,,0.00,unresolved,418,"“I've never asked after Mrs. Irwine and the Miss Irwines, sir; I hope they're as well as usual.”"
q00461,,0.00,unresolved,419,"“Yes, thank you, Mrs. Poyser, except that Miss Anne has one of her bad headaches to-day. By the by, we all liked that nice cream-cheese you sent us—my mother especially.”"
q00462,,0.00,unresolved,420,"“I'm very glad, indeed, sir. It is but seldom I make one, but I remembered Mrs. Irwine was fond of 'em. Please to give my duty to her, and to Miss Kate and Miss Anne. They've never been to look at my poultry this long while, and I've got some beautiful speckled chickens, black and white, as Miss Kate might like to have some of amongst hers.”"
q00463,,0.00,unresolved,421,"“Well, I'll tell her; she must come and see them. Good-bye,”"
q00464,Irwine,0.91,same-paragraph,422,"“Just ride slowly on, Irwine,”"
q00465,Irwine,0.96,before-name-verb,422,"“I'll overtake you in three minutes. I'm only going to speak to the shepherd about the whelps. Good-bye, Mrs. Poyser; tell your husband I shall come and have a long talk with him soon.”"
q00466,,0.00,unresolved,425,"“Why, Mr. Irwine wasn't angry, then? What did he say to you, Dinah? Didn't he scold you for preaching?”"
q00467,,0.00,unresolved,426,"“No, he was not at all angry; he was very friendly to me. I was quite drawn out to speak to him; I hardly know how, for I had always thought of him as a worldly Sadducee. But his countenance is as pleasant as the morning sunshine.”"
q00468,,0.00,unresolved,427,“Pleasant! and what else did y' expect to find him but pleasant?”
q00469,,0.00,unresolved,427,"“I should think his countenance is pleasant indeed! And him a gentleman born, and's got a mother like a picter. You may go the country round and not find such another woman turned sixty-six. It's summat-like to see such a man as that i' the desk of a Sunday! As I say to Poyser, it's like looking at a full crop o' wheat, or a pasture with a fine dairy o' cows in it; it makes you think the world's comfortable-like. But as for such creaturs as you Methodisses run after, I'd as soon go to look at a lot o' bare-ribbed runts on a common. Fine folks they are to tell you what's right, as look as if they'd never tasted nothing better than bacon-sword and sour-cake i' their lives. But what did Mr. Irwine say to you about that fool's trick o' preaching on the Green?”"
q00470,,0.00,unresolved,428,"“He only said he'd heard of it; he didn't seem to feel any displeasure about it. But, dear aunt, don't think any more about that. He told me something that I'm sure will cause you sorrow, as it does me. Thias Bede was drowned last night in the Willow Brook, and I'm thinking that the aged mother will be greatly in need of comfort. Perhaps I can be of use to her, so I have fetched my bonnet and am going to set out.”"
q00471,,0.00,unresolved,429,"“Dear heart, dear heart! But you must have a cup o' tea first, child,”"
q00472,,0.00,unresolved,429,"“The kettle's boiling—we'll have it ready in a minute; and the young uns 'ull be in and wanting theirs directly. I'm quite willing you should go and see th' old woman, for you're one as is allays welcome in trouble, Methodist or no Methodist; but, for the matter o' that, it's the flesh and blood folks are made on as makes the difference. Some cheeses are made o' skimmed milk and some o' new milk, and it's no matter what you call 'em, you may tell which is which by the look and the smell. But as to Thias Bede, he's better out o' the way nor in—God forgi' me for saying so—for he's done little this ten year but make trouble for them as belonged to him; and I think it 'ud be well for you to take a little bottle o' rum for th' old woman, for I daresay she's got never a drop o' nothing to comfort her inside. Sit down, child, and be easy, for you shan't stir out till you've had a cup o' tea, and so I tell you.”"
q00473,Molly,0.91,same-paragraph,431,"“Molly,”"
